Topology,SendBits,Packets,Stalls,AvgLatency,AvgIdleTime,Throughput
Torus4,16876680576,3462,0,263.5,995063355.0972222,64048123.62808349
Torus16,18874219392,19840,0,350.125,1461280150.8923612,53907088.5883613
Torus64,61481485952,130364,0,561.984375,1604725018.671007,109400703.44838324
