==================================================
 Topology          : 3D Mesh 2x2x4 - MiniMD
 Routers           : 16
 Nodes per router  : 2  (local_ports)
 Total nodes       : 32
 Total MPI ranks   : 32
 PPN (ranks/node)  : 2   <-- should be 2
 Stats CSV         : /Users/stephenrajva/Downloads/HPC-Upload 2/SST_Stimulator/MiniMD/Mesh/PPN_2/results/minimd_mesh_2x2x4_ppn2_nodes32_stats.csv
==================================================
AllPingPong: total time 162120.771 us, loop 325, bufLen 20510, latency 249.417 us. bandwidth 0.082232 GB/s
479924427178:0:0:EmberEngine:AllPingPong:generate:59: rank=0 size=32
479924427178:0:2:EmberEngine:AllPingPong:generate:59: rank=2 size=32
479924427178:0:4:EmberEngine:AllPingPong:generate:59: rank=4 size=32
479924427178:0:6:EmberEngine:AllPingPong:generate:59: rank=6 size=32
480414733854:0:17:EmberEngine:AllPingPong:generate:59: rank=17 size=32
480414733854:0:19:EmberEngine:AllPingPong:generate:59: rank=19 size=32
480414733854:0:21:EmberEngine:AllPingPong:generate:59: rank=21 size=32
480414733854:0:23:EmberEngine:AllPingPong:generate:59: rank=23 size=32
480417678347:0:1:EmberEngine:AllPingPong:generate:59: rank=1 size=32
480417678347:0:3:EmberEngine:AllPingPong:generate:59: rank=3 size=32
480417678347:0:5:EmberEngine:AllPingPong:generate:59: rank=5 size=32
480417678347:0:7:EmberEngine:AllPingPong:generate:59: rank=7 size=32
AllPingPong: total time 155725.741 us, loop 325, bufLen 9000, latency 239.578 us. bandwidth 0.037566 GB/s
Allreduce: ranks 32, loop 40, 1 double(s), latency 2472.024 us
Barrier: ranks 32, loop 15, latency 1400.828 us
Simulation is complete, simulated time: 755.556 ms
