Topology,SendBits,Packets,Stalls,AvgLatency,AvgIdleTime,Throughput
Torus16,9867296640,597952,0,199.25,707884895600.8047,49522191.41781681
Torus64,39472503680,2399648,0,213.6875,708124778953.4922,184720695.7823925
