Topology,SendBits,Packets,Stalls,AvgLatency,AvgIdleTime,Throughput,Family
Mesh16,9867296640,597952,0,181.0,686088652194.7727,54515451.04972376,Mesh
Mesh64,39473230720,2401440,0,194.453125,697046749079.4495,202996124.2330253,Mesh
Torus16,9867296640,597952,0,199.25,707884895600.8047,49522191.41781681,Torus
Torus64,39472503680,2399648,0,213.6875,708124778953.4922,184720695.7823925,Torus
