ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u32, SumSQ.u32, Count.u64, Min.u32, Max.u32, Sum.u64, SumSQ.u64, Min.u64, Max.u64
polarfly_network.rtr1, idle_time, port0, Accumulator, 13420108, 0, 0, 0, 7, 0, 0, 13342108, 36695501305486, 48651, 3930347
polarfly_network.rtr1, width_adj_count, port0, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr1, send_bit_count, port1, Accumulator, 13420108, 0, 0, 0, 4, 0, 0, 1568, 618752, 360, 424
polarfly_network.rtr1, send_packet_count, port1, Accumulator, 13420108, 0, 0, 0, 4, 0, 0, 4, 4, 1, 1
polarfly_network.rtr1, output_port_stalls, port1, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr1, idle_time, port1, Accumulator, 13420108, 0, 0, 0, 5, 0, 0, 13368108, 38200135245250, 1703701, 3275178
polarfly_network.rtr1, width_adj_count, port1, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr1, send_bit_count, port2, Accumulator, 13420108, 0, 0, 0, 4, 0, 0, 1568, 618752, 360, 424
polarfly_network.rtr1, send_packet_count, port2, Accumulator, 13420108, 0, 0, 0, 4, 0, 0, 4, 4, 1, 1
polarfly_network.rtr1, output_port_stalls, port2, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr1, idle_time, port2, Accumulator, 13420108, 0, 0, 0, 5, 0, 0, 13368108, 48477032909034, 597851, 4675494
polarfly_network.rtr1, width_adj_count, port2, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr1, send_bit_count, port3, Accumulator, 13420108, 0, 0, 0, 2, 0, 0, 784, 309376, 360, 424
polarfly_network.rtr1, send_packet_count, port3, Accumulator, 13420108, 0, 0, 0, 2, 0, 0, 2, 2, 1, 1
polarfly_network.rtr1, output_port_stalls, port3, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr1, idle_time, port3, Accumulator, 13420108, 0, 0, 0, 3, 0, 0, 13394108, 71119676774194, 1834335, 6465713
polarfly_network.rtr1, width_adj_count, port3, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr1, send_bit_count, port4, Accumulator, 13420108, 0, 0, 0, 4, 0, 0, 1568, 618752, 360, 424
polarfly_network.rtr1, send_packet_count, port4, Accumulator, 13420108, 0, 0, 0, 4, 0, 0, 4, 4, 1, 1
polarfly_network.rtr1, output_port_stalls, port4, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr1, idle_time, port4, Accumulator, 13420108, 0, 0, 0, 5, 0, 0, 13368108, 41660530332816, 570651, 3531114
polarfly_network.rtr1, width_adj_count, port4, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr1, xbar_stalls, port0, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr1, xbar_stalls, port1, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr1, xbar_stalls, port2, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr1, xbar_stalls, port3, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr1, xbar_stalls, port4, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr2:topology, hopcount1, , Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr2:topology, hopcount2, , Accumulator, 13420108, 0, 6, 6, 6, 1, 1, 0, 0, 0, 0
polarfly_network.rtr2:topology, hopcount3, , Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr2:topology, hopcount4, , Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr2, send_bit_count, port0, Accumulator, 13420108, 0, 0, 0, 6, 0, 0, 2352, 928128, 360, 424
polarfly_network.rtr2, send_packet_count, port0, Accumulator, 13420108, 0, 0, 0, 6, 0, 0, 6, 6, 1, 1
polarfly_network.rtr2, output_port_stalls, port0, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr2, idle_time, port0, Accumulator, 13420108, 0, 0, 0, 7, 0, 0, 13342108, 28204539115518, 660502, 2518164
polarfly_network.rtr2, width_adj_count, port0, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr2, send_bit_count, port1, Accumulator, 13420108, 0, 0, 0, 4, 0, 0, 1568, 618752, 360, 424
polarfly_network.rtr2, send_packet_count, port1, Accumulator, 13420108, 0, 0, 0, 4, 0, 0, 4, 4, 1, 1
polarfly_network.rtr2, output_port_stalls, port1, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr2, idle_time, port1, Accumulator, 13420108, 0, 0, 0, 5, 0, 0, 13368108, 38643531824386, 1703701, 3422474
polarfly_network.rtr2, width_adj_count, port1, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr2, send_bit_count, port2, Accumulator, 13420108, 0, 0, 0, 4, 0, 0, 1568, 618752, 360, 424
polarfly_network.rtr2, send_packet_count, port2, Accumulator, 13420108, 0, 0, 0, 4, 0, 0, 4, 4, 1, 1
polarfly_network.rtr2, output_port_stalls, port2, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr2, idle_time, port2, Accumulator, 13420108, 0, 0, 0, 5, 0, 0, 13368108, 71367554348992, 53983, 6397730
polarfly_network.rtr2, width_adj_count, port2, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr2, send_bit_count, port3, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr2, send_packet_count, port3, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr2, output_port_stalls, port3, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr2, idle_time, port3, Accumulator, 13420108, 0, 0, 0, 1, 0, 0, 13420108, 180099298731664, 13420108, 13420108
polarfly_network.rtr2, width_adj_count, port3, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr2, send_bit_count, port4, Accumulator, 13420108, 0, 0, 0, 2, 0, 0, 784, 309376, 360, 424
polarfly_network.rtr2, send_packet_count, port4, Accumulator, 13420108, 0, 0, 0, 2, 0, 0, 2, 2, 1, 1
polarfly_network.rtr2, output_port_stalls, port4, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr2, idle_time, port4, Accumulator, 13420108, 0, 0, 0, 3, 0, 0, 13394108, 66650649110494, 2814630, 6465713
polarfly_network.rtr2, width_adj_count, port4, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr2, xbar_stalls, port0, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr2, xbar_stalls, port1, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr2, xbar_stalls, port2, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr2, xbar_stalls, port3, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr2, xbar_stalls, port4, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr3:topology, hopcount1, , Accumulator, 13420108, 0, 4, 4, 4, 1, 1, 0, 0, 0, 0
polarfly_network.rtr3:topology, hopcount2, , Accumulator, 13420108, 0, 2, 2, 2, 1, 1, 0, 0, 0, 0
polarfly_network.rtr3:topology, hopcount3, , Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr3:topology, hopcount4, , Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr3, send_bit_count, port0, Accumulator, 13420108, 0, 0, 0, 6, 0, 0, 2352, 928128, 360, 424
polarfly_network.rtr3, send_packet_count, port0, Accumulator, 13420108, 0, 0, 0, 6, 0, 0, 6, 6, 1, 1
polarfly_network.rtr3, output_port_stalls, port0, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr3, idle_time, port0, Accumulator, 13420108, 0, 0, 0, 6, 0, 0, 13342108, 48089720645692, 118634, 4593511
polarfly_network.rtr3, width_adj_count, port0, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr3, send_bit_count, port1, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr3, send_packet_count, port1, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr3, output_port_stalls, port1, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr3, idle_time, port1, Accumulator, 13420108, 0, 0, 0, 1, 0, 0, 13420108, 180099298731664, 13420108, 13420108
polarfly_network.rtr3, width_adj_count, port1, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr3, send_bit_count, port2, Accumulator, 13420108, 0, 0, 0, 2, 0, 0, 784, 309376, 360, 424
polarfly_network.rtr3, send_packet_count, port2, Accumulator, 13420108, 0, 0, 0, 2, 0, 0, 2, 2, 1, 1
polarfly_network.rtr3, output_port_stalls, port2, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr3, idle_time, port2, Accumulator, 13420108, 0, 0, 0, 3, 0, 0, 13394108, 79012744213894, 894570, 6465713
polarfly_network.rtr3, width_adj_count, port2, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr3, send_bit_count, port3, Accumulator, 13420108, 0, 0, 0, 4, 0, 0, 1568, 618752, 360, 424
polarfly_network.rtr3, send_packet_count, port3, Accumulator, 13420108, 0, 0, 0, 4, 0, 0, 4, 4, 1, 1
polarfly_network.rtr3, output_port_stalls, port3, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr3, idle_time, port3, Accumulator, 13420108, 0, 0, 0, 5, 0, 0, 13368108, 47726915727890, 763936, 4533530
polarfly_network.rtr3, width_adj_count, port3, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr3, send_bit_count, port4, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr3, send_packet_count, port4, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr3, output_port_stalls, port4, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr3, idle_time, port4, Accumulator, 13420108, 0, 0, 0, 1, 0, 0, 13420108, 180099298731664, 13420108, 13420108
polarfly_network.rtr3, width_adj_count, port4, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr3, xbar_stalls, port0, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr3, xbar_stalls, port1, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr3, xbar_stalls, port2, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr3, xbar_stalls, port3, Accumulator, 13420108, 0, 0, 0, 7, 0, 0, 7, 7, 1, 1
polarfly_network.rtr3, xbar_stalls, port4, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr4:topology, hopcount1, , Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr4:topology, hopcount2, , Accumulator, 13420108, 0, 6, 6, 6, 1, 1, 0, 0, 0, 0
polarfly_network.rtr4:topology, hopcount3, , Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr4:topology, hopcount4, , Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr4, send_bit_count, port0, Accumulator, 13420108, 0, 0, 0, 6, 0, 0, 2352, 928128, 360, 424
polarfly_network.rtr4, send_packet_count, port0, Accumulator, 13420108, 0, 0, 0, 6, 0, 0, 6, 6, 1, 1
