Topology,SendBits,Packets,Stalls,AvgLatency,AvgIdleTime,Throughput
Mesh16,9867296640,597952,0,181.0,686088652194.7727,54515451.04972376
Mesh64,39473230720,2401440,0,194.453125,697046749079.4495,202996124.2330253
