Pattern,Ranks,Avg HopCount
Allreduce,4,3.33
Bcast,4,3.33
Reduce,4,3.33
Allgather,4,3.33
Barrier,4,6.0
PingPong 0-1,2,3
PingPong 0-2,2,3
PingPong 0-3,2,4
PingPong 1-2,2,4
PingPong 1-3,2,3
PingPong 2-3,2,3
Overall,-,3.58
