Pattern,Ranks,Avg HopCount
Allreduce,16,4.07
Bcast,16,4.07
Reduce,16,4.07
Allgather,16,4.07
Barrier,16,10.0
PingPong 0-1,2,3
PingPong 0-2,2,3
PingPong 0-3,2,3
PingPong 1-2,2,3
PingPong 1-3,2,3
PingPong 2-3,2,3
Overall,-,4.02
